User Name,Thumbnail URL,Comment Time,Likes,Comment Text
soft boy,https://yt3.ggpht.com/ytc/AGIKgqOxGYud0Flirn5NdDtD-OdbUYcmqRH8CvL8RA=s48-c-k-c0x00ffffff-no-rj,1 year ago,0,Bro ye uncle fixer jese  app ke liye kitna amount lagega ... Bata sakte hon ... Devolper ke kiya charges hote  hai ... Reply zaror dena
Maqdoor Alam,https://yt3.ggpht.com/ytc/AGIKgqPspnnTv-B4dQxFt8jXHYkmup07JTkZFWlxLA=s48-c-k-c0x00ffffff-no-rj,7 months ago,0,kya hum Ics rakhne k baad software engineer ban sakte hain??
Discover Tube,https://yt3.ggpht.com/ytc/AGIKgqMEBhiJEguNPuCyxeDfQUARSt7T6PnnAtIFRQ=s48-c-k-c0x00ffffff-no-rj,2 years ago,0,Software engineering karne k liye bachelor karna zarori ha???
nimra khan,https://yt3.ggpht.com/ytc/AGIKgqOSkGFmFMYzFzpDKBDWv6pqrQM8_XnF7iktMA=s48-c-k-c0x00ffffff-no-rj,1 year ago,0,sir comsat islamabad campus SOFTWARE ENGINEERING  is good but with out engineering degree is it good option
Web Sparow,https://yt3.ggpht.com/aIAg2MXQkGwxwTT8VnXCMUvxwngRG3IXJMZ66vA1xzNVDqDHIaqFyvu8z-6AjD9tM8yuiHkyZw=s48-c-k-c0x00ffffff-no-rj,11 months ago,0,Sir please make video on complete  Road map to Artificial intelligence
Dilawar Ejaz,,2 years ago,2,MashaAllah Ehmad bhai
Awais Ahmed,,2 years ago,1,Make a video on data science on bs level
AQ GHOuRi,,1 year ago,0,"Sir mene first year mein ics ki field choose kri !
I'm interesting in software engineering!
Aap ye guide kren mein 2nd year ke bad knsi feild mein jaon aur kya kron?"
shakir khan,,6 months ago,1,i am from afghanistan but live in pakistan and i studied in afghani school till 12 class but know i want to study more and i like  to became a  software engineenr but i do not know how to do and what to do from where to start please help me
Rafia Baig,,1 year ago,0,I.com student is eligible for software engineering??
mohammad bin,,1 year ago,0,Matric k bad kon kya karna cahye or kon se subjects rakhny cahye for software engineering
Muhammad Ali,,1 year ago,1,assalamualikum. bro i am a bscs student and now i have given the final exams of my th smester and i dont know anything even c++ . so what should i do . whether i should do web development skills or android development. which one easy to handle and has a high chance to secure the job.
peshawer clasher,,1 year ago,0,"Asalmoalikom sir, computer science kai bad (BA) kersakty hai ?"
Princess saadi,,1 month ago,0,Software engineer are computer science which field is best
hp,,1 year ago,0,"Aoa bro mainey Alevels mai Business ,Economics or Computer Science rakhy hoowy hai tou kya mai computer science kar sakta hoon in university because mainey maths nahi li iss liye .
Kindly guide me ."
